1030303,0.6521,0.8623
1037496,0.5832,0.7778
1037798,0.178,0.4146
1043135,0.5493,0.7602
104861,0.3101,0.4758
1051399,0.1673,0.4781
1063750,0.0143,0.0632
1064670,0.6081,0.741
1071750,0.7484,0.8096
1103812,0.4985,0.632
1105792,0.8797,0.8832
1106007,0.2039,0.4474
1106979,0.6083,0.7785
1108651,0.2129,0.4219
1109707,0.2017,0.3678
1110199,0.313,0.4425
1110678,0.3101,0.5369
1112341,0.1062,0.2115
1113256,0.5156,0.85
1113437,0.2448,0.4016
1114646,0.5822,0.7663
1114819,0.1426,0.319
1115210,0.2851,0.4511
1115776,0.3822,0.7013
1116380,0.1819,0.3087
1117099,0.2696,0.5225
1121353,0.1275,0.353
1121402,0.805,0.8804
1121709,0.0833,0.1384
1122767,0.2463,0.4914
1124210,0.3518,0.4817
1127540,0.8762,0.9275
1129237,0.6605,0.8543
1131069,0.6333,0.818
1132532,0.3994,0.6285
1133167,0.1754,0.3301
1133579,0.6068,0.6764
1136043,0.344,0.5988
1136047,0.1797,0.4887
1136962,0.5282,0.6833
118440,0.0172,0.1081
121171,0.166,0.2952
130510,0.6549,0.853
131843,0.2864,0.6666
135802,0.7839,0.9214
141630,0.2819,0.5129
146187,0.6558,0.8497
148538,0.2054,0.4079
156493,0.3639,0.5092
156498,0.7793,0.8098
168216,0.173,0.3448
169208,0.6341,0.7465
174463,0.1644,0.3436
182539,0.5701,0.6885
183378,0.2183,0.375
19335,0.5356,0.6644
207786,0.5927,0.7108
23849,0.0771,0.2282
258062,0.2985,0.5488
264014,0.237,0.4338
324585,0.9751,0.9936
330975,0.5191,0.6799
332593,0.4916,0.6391
336901,0.5263,0.7602
359349,0.4984,0.7405
390360,0.2927,0.5874
405163,0.0017,0.0298
405717,0.5132,0.6798
42255,0.7619,0.9078
443396,0.0142,0.1096
451602,0.1164,0.2355
47210,0.4747,0.6827
47923,0.3027,0.4714
489204,0.0596,0.155
490595,0.3181,0.4693
527433,0.1195,0.3469
555530,0.0748,0.1566
573724,0.5252,0.6809
583468,0.4222,0.6789
640502,0.1341,0.307
67316,0.0998,0.3463
673670,0.0887,0.3911
701453,0.5979,0.8281
730539,0.5261,0.7269
768208,0.3433,0.631
833860,0.4019,0.6262
855410,1,1
87181,0.3976,0.6107
87452,0.3085,0.4307
877809,0.3917,0.5886
911232,0.2494,0.6326
914916,0.2144,0.3501
915593,0.3261,0.5243
938400,0.3304,0.5436
940547,0.3486,0.4168
962179,0.8082,0.925
997622,0.6767,0.9078
