1030303,0.6521,0.8623,1.753678679
1037496,0.5832,0.7778,1.853482842
1037798,0.178,0.4146,1.892241478
1043135,0.5493,0.7602,1.674716473
104861,0.3101,0.4758,1.472083688
1051399,0.1673,0.4781,1.804788947
1063750,0.0143,0.0632,1.48784709
1064670,0.6081,0.741,1.882017255
1071750,0.7484,0.8096,1.907261372
1103812,0.4985,0.632,1.524867654
1105792,0.8797,0.8832,1.790983796
1106007,0.2039,0.4474,1.927413464
1106979,0.6083,0.7785,2.196497679
1108651,0.2129,0.4219,1.635305166
1109707,0.2017,0.3678,1.555143356
1110199,0.313,0.4425,1.650790572
1110678,0.3101,0.5369,1.729099512
1112341,0.1062,0.2115,1.598562956
1113256,0.5156,0.85,1.709413528
1113437,0.2448,0.4016,1.560983658
1114646,0.5822,0.7663,1.750581861
1114819,0.1426,0.319,1.818925142
1115210,0.2851,0.4511,1.361660242
1115776,0.3822,0.7013,1.675815225
1116380,0.1819,0.3087,1.956832767
1117099,0.2696,0.5225,1.755944729
1121353,0.1275,0.353,1.553214192
1121402,0.805,0.8804,1.926007986
1121709,0.0833,0.1384,1.497628212
1122767,0.2463,0.4914,1.565893531
1124210,0.3518,0.4817,1.464020967
1127540,0.8762,0.9275,2.240999699
1129237,0.6605,0.8543,1.950541854
1131069,0.6333,0.818,1.473904014
1132532,0.3994,0.6285,1.601135135
1133167,0.1754,0.3301,1.261234164
1133579,0.6068,0.6764,1.359591126
1136043,0.344,0.5988,2.073015213
1136047,0.1797,0.4887,1.761634111
1136962,0.5282,0.6833,1.770278573
118440,0.0172,0.1081,1.95421648
121171,0.166,0.2952,1.718577027
130510,0.6549,0.853,2.130145311
131843,0.2864,0.6666,2.052807093
135802,0.7839,0.9214,1.99396646
141630,0.2819,0.5129,1.36076355
146187,0.6558,0.8497,2.222775698
148538,0.2054,0.4079,1.47809422
156493,0.3639,0.5092,1.335471749
156498,0.7793,0.8098,1.873941898
168216,0.173,0.3448,1.330880165
169208,0.6341,0.7465,1.808778405
174463,0.1644,0.3436,1.646209359
182539,0.5701,0.6885,1.787895203
183378,0.2183,0.375,1.784475207
19335,0.5356,0.6644,1.629181266
207786,0.5927,0.7108,1.839176536
23849,0.0771,0.2282,1.570073128
258062,0.2985,0.5488,1.477298975
264014,0.237,0.4338,1.339346409
324585,0.9751,0.9936,2.166629314
330975,0.5191,0.6799,1.322766066
332593,0.4916,0.6391,1.642490625
336901,0.5263,0.7602,1.666454673
359349,0.4984,0.7405,1.897981405
390360,0.2927,0.5874,1.60743773
405163,0.0017,0.0298,1.558940291
405717,0.5132,0.6798,1.566479921
42255,0.7619,0.9078,1.898281217
443396,0.0142,0.1096,1.712040663
451602,0.1164,0.2355,1.405431747
47210,0.4747,0.6827,1.664598823
47923,0.3027,0.4714,1.594501972
489204,0.0596,0.155,1.214261174
490595,0.3181,0.4693,1.555006742
527433,0.1195,0.3469,1.33546102
555530,0.0748,0.1566,1.348864317
573724,0.5252,0.6809,1.585319161
583468,0.4222,0.6789,1.330557704
640502,0.1341,0.307,1.466705561
67316,0.0998,0.3463,1.443696022
673670,0.0887,0.3911,1.69847846
701453,0.5979,0.8281,1.888054609
730539,0.5261,0.7269,2.231575012
768208,0.3433,0.631,2.47718358
833860,0.4019,0.6262,2.148569345
855410,1,1,1.784099579
87181,0.3976,0.6107,1.644378781
87452,0.3085,0.4307,1.455183148
877809,0.3917,0.5886,1.637282848
911232,0.2494,0.6326,1.493820906
914916,0.2144,0.3501,1.441278338
915593,0.3261,0.5243,1.588781953
938400,0.3304,0.5436,1.673915148
940547,0.3486,0.4168,1.645686507
962179,0.8082,0.925,1.864282846
997622,0.6767,0.9078,1.851265311
